 Date, Team, Acquired, Relinquished, Notes
2007-01-13, Celtics, , • Tony Allen, surgery on left knee to repair torn ACL
2007-01-13, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-13, Celtics, , Brian Scalabrine, bruised right knee (DNP)
2007-01-13, Spurs, , • Matt Bonner, torn MCL in left knee
2007-01-15, Blazers, , • Jarrett Jack, concussion (sufferered in car accident) (DNP)
2007-01-15, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-15, Bulls, , • Ben Wallace, sore lower back (DNP)
2007-01-15, Celtics, , • Delonte West, bruised lower back (DNP)
2007-01-15, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-15, Celtics, , Brian Scalabrine, bruised right knee (DNP)
2007-01-15, Warriors, , • Adonal Foyle, sprained right ankle (DNP)
2007-01-15, Warriors, , • Jason Richardson, broken bone in right hand (DNP)
2007-01-15, Warriors, , • Keith McLeod, strained abdominal muscle (DNP)
2007-01-16, Hornets, , • Bobby Jackson, cracked ribs (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-01-16, Hornets, , • David West, right elbow synovitis (DNP)
2007-01-16, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
2007-01-16, Suns, , • Kurt Thomas, hyperextended left elbow (out 4-6 weeks)
2007-01-17, Blazers, , • Jarrett Jack, concussion (sufferered in car accident) (DNP)
2007-01-17, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-19, Bobcats, , • Primoz Brezec, lower back spasms (DNP)
2007-01-19, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-19, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-19, Celtics, , Brian Scalabrine, bruised right knee (DNP)
2007-01-19, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
2007-01-20, Bobcats, , Primoz Brezec, back spasms (DNP)
2007-01-20, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-20, Celtics, , Brian Scalabrine, bruised right knee (DNP)
2007-01-20, Magic, , • Grant Hill, pinky finger injury (knee injury per CBC) (DNP)
2007-01-21, Bucks, , • Brian Skinner, stomach virus (DNP)
2007-01-21, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-22, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-22, Celtics, , Brian Scalabrine, bruised right knee (DNP)
2007-01-22, Heat, , • Dwyane Wade, sprained left ankle (DNP)
2007-01-22, Nets, , • Richard Jefferson, arthroscopic surgery on right ankle (DTD)
2007-01-22, Nets, , • Richard Jefferson, surgery on right ankle
2007-01-23, 76ers, , • Willie Green, sore right knee (DNP)
2007-01-23, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-23, Nuggets, , Eduardo Najera, bruised left quadricep (DNP)
2007-01-23, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-01-24, 76ers, , • Willie Green, right knee synovitis (DNP)
2007-01-24, Bobcats, , • Othella Harrington, sore left knee (DNP)
2007-01-24, Bobcats, , Jake Voskuhl, stomach virus (DNP)
2007-01-24, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-24, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-25, Knicks, , • Eddy Curry, strained left calf muscle (DTD)
2007-01-26, 76ers, , • Willie Green, right knee synovitis (DNP)
2007-01-27, Heat, , • Gary Payton, upper respiratory infection (DNP)
2007-01-27, Jazz, , • Andrei Kirilenko, sprained right ankle (DNP)
2007-01-27, Lakers, , • Luke Walton, sprained right ankle (out 1-2 weeks)
2007-01-29, Blazers, , • LaMarcus Aldridge, flu (DNP)
2007-01-29, Bobcats, , • Othella Harrington, sore left knee (DNP)
2007-01-29, Bobcats, , • Sean May, right knee injury (DTD)
2007-01-29, Bulls, , • Ben Wallace, bruised tendon in left knee (DTD)
2007-01-30, Clippers, , Zeljko Rebraca, surgery on back to remove herniated disc fragments (out for season)
2007-01-30, Heat, , • Jason Williams, abdominal strain (DNP)
2007-01-31, Bobcats, , Primoz Brezec, back injury (DNP)
2007-01-31, Jazz, , • Carlos Boozer, hairline fracture in left fibula
2007-01-31, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-01, Bobcats, , • Othella Harrington, surgery on left knee to repair torn cartilage (out 3-6 weeks)
2007-02-02, Bobcats, , Primoz Brezec, back spasms (DNP)
2007-02-02, Cavaliers, , • Shannon Brown, shin injury (out indefinitely)
2007-02-02, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-03, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-05, Bobcats, , • Derek Anderson, sprained right ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-02-05, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-05, Nuggets, , • Marcus Camby, strained left groin (DNP)
2007-02-05, Warriors, , • Baron Davis, bruised left knee (P) / calf injury (CBC) (DNP)
2007-02-06, Bucks, , • Dan Gadzuric, dislocated left shoulder (out ~6 weeks)
2007-02-06, Bucks, , • Dan Gadzuric, dislocated left shoulder (DNP)
2007-02-07, Bobcats, , • Derek Anderson, sprained right ankle (DNP)
2007-02-07, Magic, , • Tony Battie, bone chip in right hand (DNP)
2007-02-07, Nuggets, , • Marcus Camby, strained left groin (DNP)
2007-02-07, Warriors, , • Baron Davis, sore left knee (DNP)
2007-02-09, Blazers, , Raef LaFrentz, right calf injury (DNP)
2007-02-09, Celtics, , • Michael Olowokandi, flu (DNP)
2007-02-09, Clippers, , • Tim Thomas, right knee injury (DTD)
2007-02-09, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-09, Nuggets, , • Marcus Camby, strained left groin (DNP)
2007-02-09, Warriors, , • Baron Davis, bruised left knee (DNP)
2007-02-10, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-10, Nuggets, , • Marcus Camby, flu-like symptoms (DNP)
2007-02-11, Blazers, , Raef LaFrentz, strained right calf (DNP)
2007-02-11, Celtics, , • Michael Olowokandi, ill (DNP)
2007-02-11, Suns, , • Boris Diaw, back spasms (DNP)
2007-02-11, Warriors, , • Baron Davis, bruised left knee (DNP)
2007-02-11, Warriors, , Mickael Pietrus, sprained right ankle (DNP)
2007-02-12, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-12, Warriors, , • Baron Davis, bruised left knee (DNP)
2007-02-12, Warriors, , Mickael Pietrus, sprained right ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-02-13, 76ers, , • Steven Hunter, dislocated left pinky finger (out indefinitely)
2007-02-13, Blazers, , Raef LaFrentz, strained left calf (DNP)
2007-02-13, Warriors, , • Baron Davis, arthroscopic surgery on left knee to clean out debris
2007-02-14, 76ers, , • Steven Hunter, dislocated left pinky finger (DNP)
2007-02-14, Blazers, , Raef LaFrentz, strained left calf (DNP)
2007-02-14, Bobcats, , • Brevin Knight, sore abdomen (DNP)
2007-02-14, Bobcats, , • Othella Harrington, recovering from surgery on knee (DNP)
2007-02-14, Bucks, , • Charlie Villanueva, sprained right ankle (DNP)
2007-02-14, Magic, , • Jameer Nelson, flu (DNP)
2007-02-14, Mavericks, , • Devean George, sprained MCL in right knee (out 2-3 weeks)
2007-02-14, Nuggets, , • Allen Iverson, sprained right ankle (DNP)
2007-02-14, Suns, , • Boris Diaw, back spasms (DNP)
2007-02-14, Warriors, , • Baron Davis, recovering from arthroscopic surgery on left knee (DNP)
